title,composedby,key,timesig,bars,chordprog
Meditation,Antonio Carlos Jobim,Bb,4 4,56,"Bb6 | Bb6 | Em7 | A7 |
Bb6 Cm7 | C#o7 Bb/D | Dm7 | G7 |
Cm7 | Cm7 | Ebm7 | Ab7 |
Dm7 | G7+ | Cm7 | F7 |
Bb6 | Bb6 | Em7 | A7 |
Bb6 Cm7 | C#o7 Bb/D | Dm7 | G7 |
Cm7 | Cm7 | Ebm7 | Ab7 |
Dm7 | G7+ | Cm7 | F7 Bb7 |
Eb6 | Eb6 | Ab7 | Ab7 |
Dm7 | C#o | Cm7 | F7 |
Bb6 | Bb6 | Em7 | A7 |
Bb6 Cm7 | C#o7 Bb/D | Dm7 | G7 |
Cm7 | Cm7 | Ebm7 | Ab7 |
Dm7 G7+ | Cm7 F7 | Bb6 | Bb6 |"
"Hi-Lili, Hi-Lo",Bronislau Kaper,F,3 4,40,"F | F | Fo7 | F |
F | F F Bb | C7 | C7 |
C7 | C7 | C7 | C7 |
C7 | C7 | F | F |
F | F | Fo7 | F |
Cm | D7 | Gm | Gm |
Gm | Gm | F | F |
C7 | C7 | F | F7 F7 Bb |
Gm | Gm | F | F |
C7 | C7 | F | C C C7 |"
Johnny One Note,Richard Rodgers,F,4 4,110,"F | Eb C7 | F | C7 |
F | C7 | F Am | Gm7 C7 |
F | Eb C7 | F | C7 |
F | C7 | D7 | Gm7 |
F | Gm7 C7 | F | F |
Ab | Ab C7 | F | F Am |
Ab | Ab C7 | F | F C7 |
F | Eb C7 | F | C7 |
F | C7 | F Am | Gm7 C7 |
F | Eb C7 | F | C7 |
F | C7 | F | C7 |
D7 | Gm7 | F | Gm7 C7 |
F | F | Ab | Ab C7 |
F | F Am | Ab | Ab C7 |
F | F | Fm | C7 C7 Bbm C7 |
Fm | Gm7 Gm7 C7 Bb | C7 C7 Bb C7 | Bb6 Bb6 C7 Bb |
Fm | C7 | Fm | C7 C7 Bbm C7 |
Fm | Gm7 Gm7 C7 Bb | C7 C7 Bb C7 | Bb6 C7 |
Fm | Fm | C | F |
C | F | C7 | G#o7 |
C Bb | Am C7 | F | Eb C7 |
F | C7 | F | C7 |
F Am | Gm7 C7 | F | Eb C7 |
F | C7 | F | C7 |
D7 | Gm7 | F | Gm7 C7 |
F | Gm7 C7 | F | Gm7 C7 |
F | Gm7 C7 | F | Gm C7 |
F | F |"
It's A Raggy Waltz,Dave Brubeck,G,3 4,32,"G G Am7 | Am7 Go7 Go7 | G7 | G7 |
C7 | C7 C#o C#o | G7 | G E7 E7 |
A7 | D7 | G G C | C C G7 |
CM7 | Bm7 Bm7 Em7 | Bbm7 Bbm7 Eb7 | AbM7 AbM7 Ab6 |
Gm7 Gm7 C7 | Fm7 Fm7 Bb7 | Em7 Em7 Eb7#11 | D7 |
G G Am7 | Am7 Go7 Go7 | G7 | G7 |
C7 | C7 C#o C#o | G7 | G E7 E7 |
A7 | D7 | G G7 C | G |"
Mimi,Richard Rodgers,G,4 4,32,"GM7 | G6 | Am7 | D7 |
GM7 | G6 | Am7 | D7 |
GM7 | G6 | Am7 | D7 |
GM7 | G6 | Dm7 | G7 |
CM7 | C6 | Co7 | Co7 |
Em7 | Em7 | Eo7 | Eo7 |
GM7 | G6 | Am7 | D7 |
G6 Em7 | Am7 D7 | G6 | Am7 D7 |"
The More I See You,Harry Warren,Eb,4 4,32,"EbM7 Fm7 | Gm7 C7b9 | Fm7 Gm7 | AbM7 Fm7/Bb |
EbM7 Fm7 | Gm7 C7b9 | Fm7 | Bb7 |
Gb7 Bb7/D | Dbm7 Gb7 | BM7 | Abm7 Bb7+ |
Em7 | F7 | Fm7 | Bb7 Fm7/Bb |
EbM7 Fm7 | Gm7 C7b9 | Fm7 Gm7 | AbM7 Fm7/Bb |
EbM7 Fm7 | Gm7 Bb7+ | Bbm7 | Eb7 |
AbM7 | Abm7 Db7 | EbM7 Fm7 | Gm7 Ab7 |
G7+ C7b9 | Fm7 Fm7/Bb | EbM7 | Fm7/Bb |"
Manteca,"Dizzy Gillespie, Walter G. Fuller, and Chano Pozo",Eb,4 4,40,"Bb7 | Bb7 | Bb7 | Bb7 |
Bb7 | Bb7 | Bb7 Ab7 | G7#9 G7#9 GbM7 F7alt |
Bb7 | Bb7 | Bb7 | Bb7 |
Bb7 | Bb7 | Bb7 Ab7 | G7#9 G7#9 GbM7 F7alt |
Abm7 | Db7 | GbM7 | GbM7 |
Bb7#11 | Eb7#11 | AbM7 | AbM7 |
Abm7 | Db7alt | GbM7 | F#m7 B7 |
Fm7 | Bb7alt | Ebm7 | F#m7 B7 |
Bb7 | Bb7 | Bb7 | Bb7 |
Bb7 | Bb7 | Bb7 Ab7 | G7#9 G7#9 GbM7 F7alt |"
Looking For A Boy,George Gershwin,C,4 4,32,"G | G | Gm7 C7 | G |
Gm7 C7 | D7 | G | Am7 D7 |
G | G | Gm7 C7 | G |
Bm | F#7 | Bm | E7 |
Am | Bm7b5 E7 | Am | Bm7b5 E7 |
Am | Em7 A7 | D7 | D7 |
G | G | Gm7 C7 | G |
Gm7 C7 | D7 | G | G |"
I Gotta Right To Sing the Blues,Harold Arlen,Bb,4 4,32,"Gm7 C7 | Gm7 C7 | Cm7 F7#5 | F7#5 |
Fm7 Bb7 | Fm7 Bb7 | Dm7b5 | G7 |
Gm7 C7 | Gm7 C7 | Cm7 F7 | Cm7 F7 |
Bb6 Cm7 | C#o7 BbM7/D | Cm7/Eb Eo7 | F7 G7 |
Gm7 C7 | Gm7 C7 | Cm7 F7#5 | F7#5 |
Fm7 Bb7 | Fm7 Bb7 | Dm7b5 | G7 |
Gm7 C7 | Gm7 C7 | Ab9#11 | Ab9#11 |
Gm7 C7 | Cm7 Cm7 Cm7b5 F7 | Bb6 | Dm7 G7 |"
My Man,"Maurice Yvain, Albert Willemetz, Jacques Charles, Channing Pollack",Ab,4 4,36,"Fm Db/F | Fm6 Db/F | Gm7b5 | Gm7b5 |
C7b9 | C7b9 | Fm | Fm |
Fm Db/F | Fm6 Db/F | Gm7b5 | Gm7b5 |
C7b9 | C7b9 | Fm | Fm |
Fm | Fm Eb | Db7 C7#5 | Eb7 |
Ab6 | Ab6 | Eb7 | Eb7 |
Eb7 | Bbm7 Eb7 | AbM7 | Eb7 |
Ab6 | Ebm7 Ab7 | DbM7 | Do7 |
AbM7/Eb Fm7 | Bb7 Eb7 | Ab6 | Bbm7 Eb7 |"
